상호명,상권업종중분류명,상권업종소분류명,표준산업분류명,행정동명,위도,경도
써든스테이크,서양식,파스타/스테이크,서양식 음식점업,용신동,37.5745404145486,127.03875415289
천주식당,한식,백반/한정식,한식 일반 음식점업,용신동,37.5727016364828,127.025487442374
언제나만족,한식,백반/한정식,한식 일반 음식점업,청량리동,37.5911004447815,127.04082852041
닭한마리,한식,닭/오리고기 구이/찜,한식 육류 요리 전문점,용신동,37.578428484055,127.027212914455
우정김밥분식,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,용신동,37.5760776629748,127.040534444642
탐스비어,주점,생맥주 전문,생맥주 전문점,종암동,37.5962945110367,127.032495225322
공유KYOUYUU,비알코올 ,카페,그 외 기타 분류 안된 사업 지원 서비스업,보문동,37.5819793821957,127.021856710622
귀한사람들,한식,백반/한정식,한식 일반 음식점업,동선동,37.5916598301719,127.016826981095
커피수공업,비알코올 ,카페,커피 전문점,안암동,37.5864028729738,127.025048425152
옛골생고기,한식,돼지고기 구이/찜,한식 육류 요리 전문점,동선동,37.590429911334,127.018451060808
연리지,한식,돼지고기 구이/찜,한식 육류 요리 전문점,동선동,37.5918350635671,127.017311584236
근처식당,동남아시아,베트남식 전문,기타 외국식 음식점업,종암동,37.591451929608,127.037517572802
"유황오리,해물아구찜탕",한식,백반/한정식,한식 일반 음식점업,안암동,37.5890321577188,127.019397905484
구식냉삼식당,한식,백반/한정식,한식 일반 음식점업,안암동,37.5844036808732,127.02955814388
김밥&스파게티미담,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,삼선동,37.5900329516215,127.010835776175
스시만,일식,일식 회/초밥,한식 해산물 요리 전문점,종암동,37.5981518380993,127.033739510995
비에이치씨,기타 간이,치킨,치킨 전문점,종암동,37.600151472658,127.033657026409
카페더베러,비알코올 ,카페,커피 전문점,종암동,37.5913961183502,127.037303146908
공방163,비알코올 ,카페,커피 전문점,삼선동,37.5877497878338,127.01580274561
짬뽕지존,중식,중국집,중식 음식점업,삼선동,37.5907933226304,127.016645884196
본카페,비알코올 ,카페,커피 전문점,삼선동,37.5884819114321,127.01176213835
하우투,비알코올 ,카페,커피 전문점,동선동,37.5917707144175,127.018240952679
신설동그집돼지,한식,돼지고기 구이/찜,한식 육류 요리 전문점,용신동,37.5771892367118,127.029912171511
우리할매떡볶이한성대점,기타 간이,김밥/만두/분식,김밥 및 기타 간이 음식점업,삼선동,37.5870930270208,127.009459342045
방가네해물짬뽕,중식,중국집,중식 음식점업,보문동,37.5806932823415,127.022145259333
